uid,species,gene_names,description,term_ids,gene_display_name,color
4505,ath,AT2G25010|MAIL1|MAIN-LIKE 1|F27C12.7|F27C12_7,"Seedling primary roots are short, agravitropic and the RAM is reduced in size. Shoot defects include delayed leaf initiation,bushy inflorescence, and sectoring. In the root, there is increased cell death and abnormal pattering.",PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000084|PO:0000293|PO:0020148|PO:0025034|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,AT2G25010,#DAF7A6
1311,ath,At2g46790|APRR9|AT2G46790|PRR9|TL1|Arabidopsis pseudo-response regulator 9|pseudo-response regulator 9|TOC1-LIKE PROTEIN 1|F19D11.7,"Long hypocotyl under red light. Small cotyledons under red light. Null mutant; has reciprocal period defects for multiple circadian rhythms, consistent with subtly altered expression patterns of the Circadian clock-associated gene (CCA1) and the Timing of CAB Expression gene (TOC1); rising and/or falling phases of transcripts are slightly delayed compared to Col; longer circadian period relative to Col (1.0-1.4 hours); alters the period of CCA1 expression in blue light by 2 hours, affects the period of CCR2 expression in red and blue light to a lesser extent, but had no effect on the period of CCA1 expression in red light or of CCR2 expression in darkness; seedlings show mild long-hypocotyl phenotype when grown under constant red or blue light at a range of fluence rates; circadian effects are complementary, light-dependent and inconsistent with the serial activation of PRR genes. Under FRc conditions, the length mutant hypocotyls is similar to that of wild-type plants.  Under Rc conditions, the hypocotyl length is increased compared to wild type and the cotyledon area is smaller. Pseudo-response regulator double mutant; leaf movements remain robustly rhythmic with a period indistinguishable from the wild type Col. double mutant shows dramatic and more than additive period lengthening in the light and becomes arrhythmic in constant darkness. Fails both to maintain an oscillation after entrainment to thermocycles and to reset its clock in response to cold pulses.",GO:0010017|GO:0003677|GO:0009266|GO:0045892|GO:0005515|GO:0007623|PO:0000293,At2g46790,#DAF7A6
1219,ath,At1g06290|ACX3|AT1G06290|ATACX3|acyl-CoA oxidase 3|T2D23.1,"Insensitive to IBA. Plants display decreased sensitivity to the inhibitory effect of indole-3-butyric acid (IBA) on root elongation, while remaining sensitive to inhibitory concentrations of indole-3-acetic acid.  They maintain their ability to initiate lateral roots in response to IBA.",PO:0025195|PO:0025281|PO:0000293|PO:0001016|PO:0001017,At1g06290,#DAF7A6
416,ath,At1g18080|RACK1A|AT1G18080|ATARCA|RACK1A_AT|SAC53|AtRACK1|RECEPTOR FOR ACTIVATED C KINASE 1 A|Suppressor of Acaulis 53|T10F20.9|WD-40 REPEAT PROTEIN ATARCA|AT1G18080.1,"Downward-bending cotyledons. Downward-bending rosette leaves. Late flowering. Narrow rosette leaves. Small rosette leaves. Developmental defects in both seedlings and mature plants, including hypocotyl and cotyledon growth, and reduced number of rosette leaves compared to wildtype. Smaller rosette, late flowering (especially in short-day conditions), shorter primary root growth and fewer lateral roots compared to wildtype. Altered sensitivity to hormones such as gibberellic acid (GA), brassinolides (BR), and abscisic acid (ABA) in seed germination and early seedling development, and auxin in root formation. Enhanced rack1a-1 phenotype resulting in the following: reduced number of rosette leaves, smaller rosette size, shorter primary root growth and fewer lateral roots compared to both wildtype and rack1a-1 single mutants.",GO:0005634|GO:0046686|GO:0022626|GO:0005515|GO:0071215|GO:0005737|GO:0005829|GO:0009845|GO:0006417|GO:0042254|GO:0009739|GO:0009507|GO:0010476|PO:0000003|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0009001|PO:0000005|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0007131|PO:0001170,At1g18080,#DAF7A6
2559,ath,At5g49680|KIP,Branched pollen tubes. Reduced fertility. Short root hairs. Thick root hairs. Twisted pollen tubes.,,At5g49680,#DAF7A6
2548,ath,At5g63840|RSW3|AT5G63840|PSL5|RADIAL SWELLING 3|PRIORITY IN SWEET LIFE 5|MGI19.5|MGI19_5|AT5G63840.1,Thick roots. Reduced cellulose content in roots; radial swelling of root tips in plants grown at the restrictive temperature of 31C.,GO:0009826|GO:0042742|GO:0005783|GO:0015926|GO:0046686|GO:0030244|GO:0009507|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0009001|PO:0000005|PO:0005052|PO:0000084|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0001170,At5g63840,#DAF7A6
6192,ath,EMB1378,embryo defective; terminal embryo phenotype: cotyledon stage.,GO:0003674|GO:0008150|GO:0005575,EMB1378,#DAF7A6
6601,ath,EMB1869,embryo defective; terminal embryo phenotype: globular stage.,GO:0008150|GO:0003674|GO:0005575,EMB1869,#DAF7A6
4935,ath,AT3G43190|SUS4|ATSUS4|sucrose synthase 4|ARABIDOPSIS THALIANA SUCROSE SYNTHASE 4|F7K15.40|AT3G43190.1,"The activity of SUS was reduced to 10% of wild-type levels in leaves of the mutant, and was undetectable (reduced to less than 10% of wild-type levels) in roots. The activity of invertase was unaffected in roots of this mutant, but in leaves neutral invertase activity was elevated by about 40%. . The double mutant line was much more  severely affected by flooding. After the 4 days of flooding, root weight had increased by only 44% (compared to 72% for wild type), and there was not statistically significant gain in root weight in the 3 days following flooding. At the end of the 7-day period, the flooding treatment had reduced the gain in root weight by  71% relative to unflooded control plants (compared to 33% for wild type). The sugar content of leaves was substantially higher than that of the wild-type control. This was most pronounced at the end of the night, when glucose and fructose were almost ninefold higher in mutant than wild-type leaves and sucrose was more than twofold higher. . When grown in soil, the double mutant line was not obviously different from wild-type controls. However, when grown hydroponically, the mutants grew considerably more slowly. . No visible phenotype. The amounts of glucose, fructose, sucrose, cellulose (roots) and starch in the mutant were not statistically significantly different  from those of the equivalent wild-type lines grown under the same conditions at the same time.",GO:0001666|GO:0016157|GO:0005829|GO:0016020|GO:0005886|GO:0005773|PO:0000037|PO:0000230|PO:0009005|PO:0009009|PO:0009010|PO:0009025|PO:0009046|PO:0009047|PO:0020100|PO:0020137|PO:0000005|PO:0005052|PO:0000056|PO:0009001|PO:0009052|PO:0000293|PO:0001078|PO:0001081|PO:0004507|PO:0007123|PO:0007611|PO:0007057,AT3G43190,#DAF7A6
7522,ath,PDE304,pigment defective embryo; pale mature embryo.,GO:0005575|GO:0008150|GO:0003674,PDE304,#DAF7A6
6201,ath,EMB1389,embryo defective; terminal embryo phenotype: zygotic/preglobular stage.,GO:0005575|GO:0008150|GO:0003674,EMB1389,#DAF7A6
5534,ath,AT5G22640|emb1211|TIC100|embryo defective 1211|TRANSLOCON AT THE INNER ENVELOPE MEMBRANE OF CHLOROPLASTS 100|MDJ22.6|MDJ22_6|AT5G22640.1,embryo defective; developmental arrest of mutant embryos.,GO:0009941|GO:0005515|GO:0009706|GO:0045037|GO:0009793|GO:0009535|GO:0009658|GO:0009536|GO:0009507|GO:0008565|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0005052|PO:0000293|PO:0009001|PO:0009049|PO:0020003|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,AT5G22640,#DAF7A6
6297,ath,EMB1510,embryo defective; terminal embryo phenotype: cotyledon stage.,GO:0003674|GO:0008150|GO:0005575,EMB1510,#DAF7A6
1023,ath,At1g29260|PEX7|AT1G29260|ATPEX7|peroxin 7|ARABIDOPSIS PEROXIN 7|F28N24.6|F28N24_6|PEROXISOMAL TARGETING SIGNAL TYPE 2 RECEPTOR,"Resistant to 2,4-DB. Few lateral roots. Insensitive to IBA. Displays peroxisomal defects such as reduced sensitivity to exogenously applied IBA.  Fewer lateral roots after IBA treatment.  Not generally defective in auxin responses.   Hypocotyl is not markedly shorter than WT when grown without added sucrose in the dark. PTS2-tageed proteins are not efficiently imported into the peroxisome.",GO:0006625|GO:0005515|PO:0000013|PO:0000014|PO:0009001|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000084|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0007131,At1g29260,#DAF7A6
109,ath,At1g64440|RHD1|AT1G64440|REB1|UGE4|ROOT HAIR DEFECTIVE 1|ROOT EPIDERMAL BULGER1|UDP-GLUCOSE 4-EPIMERASE|F15H21.11|F15H21_11,"Abnormal root hairs. Bulging root epidermis. Decrease root length (54% of that of wildtype) when grown on D-galactose-free medium. root hair length and distribution similar to wild type, bulbous root hairs. Bulging epidermal cells on the roots. The percentage of these cells appears to be dependent on environmental conditions (light intensity for example). This phenotype is not observed in the meristem but is first observed basal of the meristem. Decreased root length (67% of that of wildtype) when grown on D-galactose-free medium. Less galactose in root cell wall compared to wildtype. No difference in shoot cell wall monosaccharide composition. No observed effect of the structure of both rhamnogalacturonan I and II. Root growth significantly diminished. Root length defect was restored when mutant was grown on 10mM galactose. Structural changes of xyloglucan in roots, not in shoots. Using the monoclonal antibody CCRC-M1, specific for &#945;-L-fuc<i>p</i>(1->2)-&#946;-D-Gal<i>p</i> side chains, swollen trichoblasts were not stained while atrichoblasts and non swollen trichoblasts were. All cell types were stained in wildtype. Staining was restored when the mutant was grown on 10mM D-galactose. At 18ºC, the phenotype is indistinguishable from that of wildtype. At the restrictive temperature, epidermal bulging is observed and roots fail to grow straight in the elongation zone although this mutation does not appear to abolish gravitropic sensitivity. Temperature sensitive (33ºC) phenotype. Phenotype not described.",GO:0010053|GO:0042546|GO:0009969|GO:0005795|GO:0003978|GO:0046983|PO:0000258|PO:0005059|PO:0006036|PO:0009005|PO:0020124|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0025181|PO:0025195|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0001016|PO:0001017,At1g64440,#DAF7A6
6971,ath,EMB2434,embryo defective; terminal embryo phenotype: preglobular stage.,GO:0005575|GO:0008150|GO:0003674,EMB2434,#DAF7A6
1942,ath,At5g04040|SDP1|AT5G04040|SUGAR-DEPENDENT1|F8F6.250|F8F6_250,"Seedling lethal without exogenous sucrose. The mutant is severely impaired in its ability to breakdown storage lipid. It has a much slower rate of postgerminative growth which can be rescued by providing sucrose to the mutant. In germinating seedlings, triacylglycerol content in the mutant only declined 20% of that in the wild type and clusters of oil bodies are seen in the mutant at this stage of development.",GO:0012511|GO:0019433|GO:0004806|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000084|PO:0025195|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0007632|PO:0001016|PO:0001017,At5g04040,#DAF7A6
4252,ath,AT1G62440|LRX2|leucine-rich repeat/extensin 2|F24O1.19,"No visible phenotype, plants do not show any defect in root hair morphogenesis; lrx2 enhances the lrx1 root hair phenotype.",GO:0000904|GO:0009505|PO:0000256|PO:0000262|PO:0009005,AT1G62440,#DAF7A6
1979,ath,At2g42160|BRIZ1|AT2G42160|BRAP2 RING ZnF UBP domain-containing protein 1|T24P15.7|T24P15_7,"Delayed germination. Pale embryos. Seedling lethal. growth arrest (embryos are slow to emerge from the seed coat; after emergence, the embryos remain white with unexpanded cotyledons even after twelve days on GM media).",GO:0010029|GO:0000151|GO:0004842|GO:0046982|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,At2g42160,#DAF7A6
828,ath,At4g32720|AtLA1,Embryo defective-Globular.,,At4g32720,#DAF7A6
1110,ath,At1g10840|eIF3h,Abnormal cotyledon morphology. Abnormal cotyledon number. Abnormal silique morphology. Few root hairs. High penetrance of rosette lethality. Increased branching. Low penetrance of pin-formed inflorescences. Short primary root. Warped leaves.,,At1g10840,#DAF7A6
353,ath,At5g66750|DDM1|AT5G66750|CHR1|CHR01|CHA1|SOM4|SOM1|ATDDM1|DECREASED DNA METHYLATION 1|CHROMATIN REMODELING 1|SOMNIFEROUS 1|MSN2.14|MSN2_14,"Decreased DNA methylation. Release of endogenous transposons. DNA hypomethylation and poor growth. Phenotype not described. Sensitive to gamma-irradiation and UV. Typical mutant phenotype of demethylation. Restoration of hygromycin resistance through release from gene silencing. The luminescence response of the ros1/ ros1::ddm1/ddm1 double mutant was much higher than that of ros1/ros1::DDM1/DDM1 plants, but was still lower than that of ROS1/ROS1::DDM1/DDM1 plants.",GO:0051574|GO:0032197|GO:0006346|GO:0090241|GO:0044030|GO:0006349|GO:0016887|GO:0004003|GO:0000786|GO:0009294|GO:0006344|GO:0005515|PO:0000013|PO:0000037|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009052|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000084|PO:0025195|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007611|PO:0007616|PO:0001016|PO:0001017,At5g66750,#DAF7A6
649,ath,At1g15220|AtCCMH,Embryo defective-Cotyledon.,,At1g15220,#DAF7A6
1834,ath,At3g06370|NAX4,Resistant to salt stress.,,At3g06370,#DAF7A6
316,ath,At1g78900|VHA-A|AT1G78900|vacuolar ATP synthase subunit A|F9K20.5|F9K20_5|AT1G78900.1|AT1G78900.2,Complete male gametophyte defective. Female gametophyte defective.,GO:0009941|GO:0000325|GO:0005773|GO:0009651|GO:0005774|GO:0007030|GO:0005886|GO:0009506|GO:0016020|GO:0009507|GO:0005618|GO:0002020|GO:0009555|GO:0005794|GO:0048046|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0009001|PO:0005020|PO:0000005|PO:0005052|PO:0000084|PO:0025195|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0007131|PO:0001016|PO:0001017|PO:0001170,At1g78900,#DAF7A6
595,ath,At5g39050|PMaT1,Elevated naphthol levels.,,At5g39050,#DAF7A6
1865,ath,At4g34460|AGB1|AT4G34460|ELK4|ATAGB1|GTP binding protein beta 1|ERECTA-LIKE 4|T4L20.40|T4L20_40|ARABIDOPSIS G-PROTEIN BETA SUBUNIT,"Blunt siliques. Rounded leaves. Short petioles. Short siliques. Slightly shorter inflorescence stems. affects leaf, flower and fruit development; rounded leaves and short petiols (rounder than in er mutants, petiols are approx 50% as long as those in the wt, whereas the lamina is approx 125% wider and approx 85% as long as that in the wt, these traits give the rosette a more compact and rounded appearance than that of wt plants); pedicel length is slightly longer than in wt; modest shortening of floral bud length (floral buds at the inflorescence apex appear more tightly clustered together than they are in the wt, but not as clusterd as in er;  decreased silique length and increased silique width (almost identical to that of er phenotype); silique tips have a blunt appearance like in er (valves do not taper apically and contact the style at its midpoint, styles do not extend as far past the valves as they do in the wt); stem length is slightly decreased relative to wt, but it is not as short as in er; expressed in all tissues but is highest in the silique. show more damage than wild-type Col-0 after exposure to either 500 or 700 ppb ozone. Similar to the agb1-2 single mutant in resistance to tunicamycin. gpa1-4, agb1-2 double mutant; kanamycin resistant or silenced. Less sensitive to growth inhibition by tunicamycin than wt. Increased primary root length and lateral root density compared to wild-type. agb1-2 allele is possibly additive to the ndl1-2 allele. GUS expression at the base of the root-shoot junction in emerging cotyledons and vasculature of mature roots. Weak GUS expression in lateral root primordia and elongated roots. Increased lateral root formation. Increased root elongation rate, cortical root cell length and cell production rate in the primary root than the wildtype. ABA-inhibition of stomatal opening reduced.",GO:0005886|GO:0010154|GO:0050832|GO:0005515|GO:0009817|GO:0005834|GO:0030968|GO:0009845|GO:0009887|GO:0009788|GO:0005737|GO:0009991|GO:0072593|GO:0048527|GO:0009723|GO:0009867|GO:0048364|GO:0005783|GO:0080008|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000014|PO:0000293|PO:0005660|PO:0009015|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0001017,At4g34460,#DAF7A6
5733,ath,AT5G57630|CIPK21|SnRK3.4|CBL-interacting protein kinase 21|SNF1-RELATED PROTEIN KINASE 3.4|MUA2.22|MUA2_22,Inhibition of both root growth and emergence of cotyledons in the cipk21 mutant under salt and mannitol stress. Hypersensitive to salt and osmotic stress.,PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000293|PO:0001054|PO:0001078|PO:0001185|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0001016|PO:0001017,AT5G57630,#DAF7A6
5238,ath,AT4G23940|FtsHi1|ARC1|ACCUMULATION AND REPLICATION OF CHLOROPLASTS 1|FTSH inactive protease 1|T32A16.110|T32A16_110|AT4G23940.1,"density (per unit area) of chloroplasts in mesophyll cells is 50 percent greater than for wild type and chloroplast size is reduced; cotyledons and early leaves are pale but become greener with development and by flowering are only slightly more pale than wild type. pale twisted leaves; mean chloroplast number per cell = 9 (cf. wild type 120); mean chloroplast size = 530µm2 (cf. wild type 50µm2). Defective in chloroplast accumulation and division. Reduced number of chloroplasts and affected division plane in chloroplast biogenesis. Highly enlongated and multiple arrayed chloroplasts in developing green tissues.  Mutant proteins do not form homodimers, as wt proteins do, and localize aberrantly inside chloroplasts. pale leaves; mean chloroplast number per cell = 79 (cf. wild type 120); mean chloroplast size = 50um2 (cf. wild type 50um2).",GO:0009658|GO:0009941|GO:0010020|GO:0009507|GO:0009536|PO:0000013|PO:0000037|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0005052|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,AT4G23940,#DAF7A6
4068,ath,AT1G21700|AT2G33610|SWI3C|ATSWI3C|CHB4|SWITCH/sucrose nonfermenting 3C|F8K7.13|F8K7_13|CHROMATIN REMODELING COMPLEX SUBUNIT B|SWI3B|ATSWI3B|CHB2|switch subunit 3|F4P9.38|F4P9_38,"Delayed development,semi-dwarf growth habit, and formation of aberrant rosettes.  The rosette and cauline leaves are severely twisted along the proximodistal axis, leading to a downward curvature of the lateral edges toward the abaxial leaf surface. Cross sections of leaves showed an increased protrusion of mesophyll cell files around the vascular bundles.  The root system is greatly reduced, because elongation of primary roots is inhibited. Seedlings develop several side roots and secondary root branches. .",GO:0005515|GO:0005634|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0025195|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0001016|PO:0001017,AT1G21700,#DAF7A6
2516,ath,At3g07970|QRT2|AT3G07970|QUARTET 2|F17A17.31,"Tetrad pollen. Reduced seed set. Indehiscent anthers. outer walls of the four meiotic products of a pollen mother cell are fused and the pollen grains fail to separate, forming pollen tetrads; pollen viable and fertile, and fertilization with a single tetrad usually yields four seeds.",GO:0004650|GO:0010047|GO:0045490|GO:0009901|GO:0048235|PO:0009005|PO:0009029|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0020100|PO:0025022|PO:0000146|PO:0007611|PO:0007616,At3g07970,#DAF7A6
5639,ath,AT5G44925,"The mutant shows ABA insensitivity in stomatal movement, including promotion of stomatal closure and inhibition of stomatal opening. The detached leaves of the mutant lose more water than those of the wild-type plants under dehydration condition; both young seedlings and mature plants of the mutant have lower capacity to conserve water during drought stress in comparison with wild-type plants. The ROS levels increase in the mutant in comparison with wild-type plants in both the whole leaves and in guard cells. Treatment with low concentrations of ABA reduces ROS levels in both whole leaves(1 to 10 uM ABA application) and in guard cells(5 uM ABA application) in the mutant plants.",,AT5G44925,#DAF7A6
4540,ath,AT2G30290|VSR2|VSR1;2|BP80-1;2|AtVSR2|VACUOLAR SORTING RECEPTOR 2|VACUOLAR SORTING RECEPTOR 1;2|binding protein of 80 kDa 1;2|T9D9.10|T9D9_10,No visible phenotype.,GO:0017119|PO:0009032|PO:0009046|PO:0025022|PO:0025281|PO:0025195|PO:0007611|PO:0007616|PO:0001016|PO:0001017,AT2G30290,#DAF7A6
5613,ath,AT5G40820|ATR|ATRAD3|ATATR|Ataxia telangiectasia-mutated and RAD3-related|ARABIDOPSIS THALIANA ATAXIA TELANGIECTASIA-MUTATED AND RAD3-RELATED|MHK7.5|MHK7_5,"atr/tert mutants show a more rapid loss of telomeric length than tert and atm/tert mutants, and show a more rapid degeneration in growth habit, becoming small, with aberrant leaf shape, and very low fertility by the third generation whereas tert mutants and tert/atm mutants show normal growth features until later generations. These mutants also have marked defects in chromosomal organization by G3 as evidenced by the presence of anaphase bridges, sometimes involving multiple chromosomes, a phenotype not seen in tert or atm/tert mutants. Double mutants are defective in telomere maintainance. Mutants form anaphase bridges.",GO:0010044|GO:0006281|GO:0010332|GO:0007004|GO:0033044|GO:0007126|GO:0032204|GO:0009506|GO:0032504|PO:0000282|PO:0000037|PO:0009005|PO:0009009|PO:0009010|PO:0009031|PO:0009046|PO:0020100|PO:0025022|PO:0000084|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007611|PO:0007616,AT5G40820,#DAF7A6
5938,ath,EMB1063,embryo defective; terminal embryo phenotype: globular stage.,GO:0005575|GO:0008150|GO:0003674,EMB1063,#DAF7A6
2347,ath,At3g33520|AtARP6,Curled leaves. Early flowering independent of photoperiod. Increased petal number. Increased sepal number. Reduced fertility. Serrated leaf margins. Short inflorescence stems. Slightly longer hypocotyl. Small flowers. Small leaves.,,At3g33520,#DAF7A6
7243,ath,EMB51,"developmental arrest of mutant embryos occurs at heart, torpedo stage; pale yellow-green seeds; pale yellow-green embryo; 26% mutant; 51.4% aborted seeds in top half of silique.",GO:0003674|GO:0009793|GO:0005575,EMB51,#DAF7A6
5453,ath,AT5G11030|ALF4|ABERRANT LATERAL ROOT FORMATION 4|T5K6.20|T5K6_20,reduced fertility mutant: male sterile. suppressor of superoot2-1 phenotype.,GO:0005634|GO:0005829|GO:0010102|GO:0005737|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020100|PO:0020137|PO:0025022|PO:0020094|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,AT5G11030,#DAF7A6
4193,ath,AT1G53310|AT1G17710|PPC1|ATPPC1|PEPC1|ATPEPC1|phosphoenolpyruvate carboxylase 1|PEP(PHOSPHOENOLPYRUVATE) CARBOXYLASE 1|F12M16.21|F12M16_21|AtPEPC1|phosphoethanolamine/phosphocholine phosphatase 1|Arabidopsis thaliana phosphoethanolamine/phosphocholine phosphatase 1|F11A6.5|F11A6_5|AT1G53310.1|AT1G53310.2|AT1G53310.3,No visible phenotype.,GO:0052731|GO:0052732|GO:0005829|GO:0051262|GO:0005515|GO:0016036|GO:0048046|PO:0000013|PO:0000014|PO:0009001|PO:0009005|PO:0009046|PO:0009047|PO:0000037|PO:0000230|PO:0008019|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000005|PO:0000084|PO:0025195|PO:0000293|PO:0025034|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0001016|PO:0001017,AT1G53310,#DAF7A6
